códig,nome abreviado,Unidade,Periodicidade,Início dd/MM/aaa,�ltimo Valor,Fonte,Especial
189,�ndice geral de pre�os do mercado (IGP-M),Var. % mensal,M,30-06-1989,Jul-22,FGV,N
190,�ndice geral de pre�os-disponibilidade interna (IGP-DI),Var. % mensal,M,29-02-1944,Jun-22,FGV,N
191,�ndice de pre�os ao consumidor-Brasil (IPC-Br),Var. % mensal,M,31-01-1990,Jun-22,FGV,N
192,�ndice nacional de custo da constru��o (INCC),Var. % mensal,M,29-02-1944,Jun-22,FGV,N
225,�ndice de pre�os ao produtor amplo (IPA),Var. % mensal,M,29-02-1944,Jun-22,FGV,N
4467,�ndice de Pre�os ao Consumidor-Brasil (IPC-Br) - N�cleo,Var. % mensal,M,31-01-1996,Jun-22,FGV,N
7447,IGP-10,Var. % mensal,M,30-09-1994,Jul-22,FGV,N
7448,IGP-M - 1º Decênd,Var. % mensal,M,31-08-1994,Jul-22,FGV,N
7449,IGP-M - 2º Decênd,Var. % mensal,M,31-08-1994,Jul-22,FGV,N
7450,�ndice de Pre�os por Atacado-Mercado (IPA-M),Var. % mensal,M,30-09-1994,Jul-22,FGV,N
7451,IPA-M - 1º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7452,IPA-M - 2º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7453,�ndice de Pre�os ao Consumidor-Mercado (IPC-M),Var. % mensal,M,30-09-1994,Jul-22,FGV,N
7454,IPC-M - 1º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7455,IPC-M - 2º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7456,�ndice Nacional de Custo da Constru��o-Mercado (INCC-M),Var. % mensal,M,30-09-1994,Jul-22,FGV,N
7457,INCC-M - 1º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7458,INCC-M - 2º Decênd,Var. % mensal,M,31-10-1994,Jul-22,FGV,N
7459,�ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos industriais,Var. % mensal,M,31-01-1994,Jun-22,FGV,N
7460,�ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas,Var. % mensal,M,31-01-1994,Jun-22,FGV,N
7461,INCC-DI - Mão-de-obr,Var. % mensal,M,31-01-1997,Jun-22,FGV,N
7462,INCC-DI - Materiais e serviço,Var. % mensal,M,31-01-1997,Jun-22,FGV,N
28655�,IGP-M mensal - consistente com número índi,%,M,01-06-1989,Jul-22,FGV,N
226,Taxa referencial (TR),% a.m.,D,01-02-1991,02-08-2022,BCB-Demab,S
253,Taxa básica financeira (TBF,% a.m.,D,01-07-1995,02-08-2022,BCB-Demab,S
25359,Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas físicas - Tot,% a.a.,M,01-01-2013,abr/2022,BCB-DSTAT,N
20716,Taxa média de juros das operações de crédito - Pessoas físicas - ,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20714,Taxa média de juros das operações de crédito - T,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20715,Taxa média de juros das operações de crédito - Pessoas jurídicas - ,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20718,Taxa média de juros das operações de crédito com recursos livres - Pessoas jurídicas - ,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20740,Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - ,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20717,Taxa média de juros das operações de crédito com recursos livres - T,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
20757,Taxa média de juros das operações de crédito com recursos direcionados - Pessoas jurídicas - ,% a.a.,M,01-03-2011,abr/2022,BCB-DSTAT,N
1619,Salário míni,u.m.c.,M,31-01-1990,set/2022,MTb,N
422,TBC anualizada,% a.a.,D,01-07-1996,27-02-2004,Copom,N
423,TBAN anualizada,% a.a.,D,01-10-1996,27-02-2004,Copom,N
432,Meta Selic definida pelo Copom,% a.a.,D,05-03-1999,03-08-2022,Copom,N
13521,Meta,%,A,01-01-1999,2024,BCB-Depec,N
12,Taxa de juros - CD,% a.d.,D,06-03-1986,02-08-2022,Cetip,N
4389,Taxa de juros - CDI anualizada base 2,% a.a.,D,06-03-1986,02-08-2022,BCB-Demab,N
4391,Taxa de juros - CDI acumulada no m,% a.m.,M,31-07-1986,ago/2022,BCB-Demab,N
4392,Taxa de juros - CDI acumulada no mês anualizada base ,% a.a.,M,31-07-1986,ago/2022,BCB-Demab,N
